ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1846	莽	莽	mɔŋ24	mɔŋ24	mong5	P114		
1847	蟒	蟒	mɔŋ24	mɔŋ24	mong5	P114		
1848	荒	荒	fɔŋ55	fɔŋ55	fong1	P114		
1849	謊	谎	fɔŋ55	fɔŋ55	fong1	P114		
1850	方	方	fɔŋ55	fɔŋ55	fong1	P114		
1851	芳	芳	fɔŋ55	fɔŋ55	fong1	P114		
1852	妨	妨	fɔŋ21	fɔŋ21	fong4	P114		
1853	房	房	fɔŋ21	fɔŋ21	fong4	P114		
1854	防	防	fɔŋ21	fɔŋ21	fong4	P114		
1855	晃	晃	fɔŋ35	fɔŋ35	fong2	P114		
1856	仿	仿	fɔŋ35	fɔŋ35	fong2	P114	相似	
1857	倣	仿	fɔŋ35	fɔŋ35	fong2	P114	倣效	原文作「仿」字
1858	紡	纺	fɔŋ35	fɔŋ35	fong2	P114		
1859	訪	访	fɔŋ35	fɔŋ35	fong2	P114		
1860	放	放	fɔŋ33	fɔŋ33	fong3	P114		
1861	當	当	tɔŋ55	tɔŋ55	dong1	P114	～時	
1862	黨	党	tɔŋ35	tɔŋ35	dong2	P114		
1863	當	当	tɔŋ33	tɔŋ33	dong3	P114	～作	
1864	蕩	荡	tɔŋ22	tɔŋ22	dong6	P114		原文誤作[tɔŋ33]
1865	盪	荡	tɔŋ22	tɔŋ22	dong6	P114		原文誤作[tɔŋ33]
1866	宕	宕	tɔŋ22	tɔŋ22	dong6	P114		原文誤作[tɔŋ33]
