ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
2752	訃	讣	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2753	務	务	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2754	霧	雾	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2755	霚	霚	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2756	懼	惧	ky22	kyː22	gyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2757	具	具	ky22	kyː22	gyu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2758	芋	芋	0y21	jyː21	jyu4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2759	數	数	ʃu33	ʃuː33	su3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	名詞。	
2760	付	付	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2761	賦	赋	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2762	傅	傅	fu22	fuː22	fu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2763	趣	趣	tʃʰy33	t͡ʃʰyː33	cyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2764	註	注	tʃy33	t͡ʃyː33	zyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2765	駐	驻	tʃy33	t͡ʃyː33	zyu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2766	屢	屡	lui23	luːi24	lui5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2767	暮	暮	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2768	慕	慕	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2769	募	募	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2770	墓	墓	mu22	muː22	mu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2771	渡	渡	tu22	tuː22	du6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2772	鍍	镀	tu22	tuː22	du6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2773	度	度	tu22	tuː22	du6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2774	路	路	lu22	luː22	lu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2775	露	露	lu22	luː22	lu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2776	鷺	鹭	lu22	luː22	lu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	鷺鷥。	
2777	賂	赂	lu22	luː22	lu6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2778	妒	妒	tu22	tuː22	du6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2779	兔	兔	tʰu33	tʰuː33	tu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2780	吐	吐	tʰu33	tʰuː33	tu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	嘔吐。	
2781	顧	顾	ku33	kuː33	gu3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
