序号	聲韻	聲調	字元	字數
433	tʰam 	陰平55	貪	1
434	tʰam 	陽平21	譚, 潭, 痰, 談	4
435	tʰam 	陽上24	淡	1
436	tʰam 	陰去33	探	1
437	tʰɐm 	陽上24	氹	1
438	tʰim 	陰平55	添	1
439	tʰim 	陽平21	甜	1
440	tʰim 	陰上35	舔	1
441	tʰan 	陰平55	灘, 癱, 攤	3
442	tʰan 	陽平21	罈, 檀, 壇	3
443	tʰan 	陰上35	毯, 坦, 袒	3
444	tʰan 	陰去33	嘆, 炭	2
445	tʰɐn 	陰平55	吞	1
446	tʰɐn 	陽平21	腯, 臀	2
447	tʰɐn 	陰去33	褪	1
448	tʰɛn 	陽平21	彈	1
449	tʰin 	陰平55	天	1
450	tʰin 	陽平21	塡, 田	2
451	tʰyn 	陰平55	湍	1
452	tʰyn 	陽平21	糰, 團	2
453	tʰyn 	陽上24	斷	1
454	tʰɔŋ 	陰平55	劏, 湯	2
455	tʰɔŋ 	陽平21	塘, 糖, 搪, 堂, 唐, 棠	6
456	tʰɔŋ 	陰上35	淌, 倘, 躺	3
457	tʰɔŋ 	陰去33	燙, 趟	2
458	tʰɛŋ 	陰平55	廳, 聽	2
459	tʰɛŋ 	陽上24	艇	1
460	tʰeŋ 	陽平21	亭, 庭, 蜓, 停, 廷	5
461	tʰeŋ 	陰上35	挺	1
462	tʰeŋ 	陰去33	聽	1
463	tʰuŋ 	陰平55	通	1
464	tʰuŋ 	陽平21	筒, 童, 桐, 銅, 瞳, 同	6
465	tʰuŋ 	陰上35	桶, 統, 捅	3
466	tʰuŋ 	陰去33	痛	1
467	tʰap 	中入33	塔	1
468	tʰip 	中入33	貼, 帖	2
469	tʰat 	中入33	遢, 塌	2
470	tʰit 	中入33	鐵	1
471	tʰyt 	中入33	脫	1
472	tʰɔk 	中入33	托, 託	2
473	tʰɛk 	中入33	踢, 剔	2
474	tʰek 	陰入55	惕	1
475	tʰuk 	陰入55	禿	1
476	nœŋ 	陰平55	娘	1
477	nœŋ 	陽平21	娘	1
478	nœk 	陽入22	瘧, 虐	2
479	na 	陽平21	拿	1
480	na 	陰上35	乸	1
481	na 	陽上24	哪, 那	2
482	nɔ 	陰平55	挼	1
483	nɔ 	陽平21	挪, 儺	2
484	nɔ 	陽去22	糯	1
485	ni 	陽平21	疑, 呢, 尼, 宜	4
486	ni 	陽上24	你, 擬	2
487	ni 	陽去22	膩	1
488	nu 	陽平21	奴	1
489	nu 	陽上24	腦, 努, 惱	3
490	nu 	陽去22	怒	1
491	ny 	陽上24	女	1
492	nai 	陰平55	奶	1
493	nai 	陽上24	奶	1
494	nɐi 	陽平21	尼, 泥	2
495	nɔi 	陽去22	耐, 奈	2
496	nui 	陽去22	內	1
497	nɐu 	陰上35	紐, 鈕, 扭	3
498	nɐu 	陽上24	朽	1
499	niu 	陽上24	鳥	1
500	niu 	陽去22	尿	1
501	nam 	陽平21	南, 男	2
502	nam 	陽上24	腩	1
503	nɐm 	陰上35	恁	1
504	nɛm 	陰平55	拈	1
505	nim 	陰平55	研, 拈, 粘	3
506	nim 	陽平21	鮎	1
507	nim 	陽去22	念, 驗	2
508	nan 	陽平21	難	1
509	nan 	陽去22	難	1
510	nɐn 	陰上35	撚	1
511	nɛn 	陰上35	攆, 碾	2
512	nin 	陽平21	年	1
513	nyn 	陽上24	暖	1
514	nyn 	陽去22	嫩	1
515	nɐŋ 	陽平21	能	1
516	nɔŋ 	陽平21	瓤, 囊	2
517	nɛŋ 	陰平55	娘	1
518	neŋ 	陰平55	擰	1
519	neŋ 	陽平21	擰, 凝, 寧	3
520	nuŋ 	陽平21	農, 儂, 濃, 膿	4
521	nap 	陽入22	衲, 納	2
522	nɐp 	陰入55	粒	1
523	nɛp 	中入33	鑷	1
524	nip 	陽入22	聶, 業	2
525	nat 	中入33	捺	1
526	nɛt 	陽入22	捏	1
527	nit 	陽入22	涅	1
528	nɔk 	陽入22	諾	1
529	nek 	陽入22	逆	1
530	ɬœŋ 	陰平55	襄, 鑲, 湘, 相, 箱, 霜, 廂	7
531	ɬœŋ 	陰上35	想	1
532	ɬœŋ 	陰去33	相	1
533	ɬœk 	中入33	削	1
534	ɬa 	陰上35	灑	1
535	ɬɔ 	陰平55	嗦, 蓑, 梭, 唆	4
536	ɬɔ 	陽平21	傻	1
537	ɬɔ 	陰上35	瑣, 鎖, 所	3
538	ɬɛ 	陰平55	些	1
539	ɬɛ 	陰上35	寫	1
540	ɬɛ 	陰去33	瀉, 卸	2
541	ɬi 	陰上35	死	1
542	ɬi 	陰去33	四, 肆	2
543	ɬu 	陰平55	騷, 穌, 臊, 蘇	4
544	ɬu 	陰上35	嫂	1
545	ɬu 	陰去33	掃, 塑, 素, 訴	4
546	ɬy 	陰平55	需, 須, 鬚	3
547	ɬy 	陰去33	絮	1
548	ɬai 	陰去33	哂	1
549	ɬɐi 	陰平55	犀, 西	2
550	ɬɐi 	陰上35	洗	1
551	ɬɐi 	陰去33	細, 壻	2
552	ɬɔi 	陰平55	蓑, 腮	2
553	ɬui 	陰平55	雖	1
554	ɬui 	陰去33	碎, 歲, 祟	3
555	ɬɐu 	陰平55	羞, 修	2
556	ɬɐu 	陰上35	蒐, 搜	2
557	ɬɐu 	陰去33	銹, 秀, 繡	3
558	ɬiu 	陰平55	蕭, 簫, 霄, 宵, 銷, 消, 硝	7
559	ɬiu 	陰上35	小	1
560	ɬiu 	陰去33	嘯, 笑	2
561	ɬam 	陰平55	三	1
562	ɬɐm 	陰平55	心	1
563	ɬan 	陰上35	傘, 散	2
564	ɬan 	陰去33	散	1
565	ɬɐn 	陰平55	新, 薪, 辛	3
566	ɬɐn 	陽平21	旬, 荀, 循, 巡	4
567	ɬɐn 	陰上35	筍, 榫	2
568	ɬɐn 	陰去33	迅, 訊, 信, 汛	4
569	ɬin 	陰平55	仙, 鮮, 先	3
570	ɬin 	陰上35	鮮	1
571	ɬin 	陰去33	羡, 線	2
572	ɬyn 	陰平55	孫, 宣, 酸	3
573	ɬyn 	陽平21	旬, 旋, 循, 巡	4
574	ɬyn 	陰上35	癬, 損, 選, 筍	4
575	ɬyn 	陰去33	訊, 算, 迅, 蒜	4
576	ɬɐŋ 	陰去33	擤	1
577	ɬɔŋ 	陰平55	喪, 嗓, 桑	3
578	ɬɔŋ 	陰上35	搡	1
579	ɬɔŋ 	陰去33	喪	1
580	ɬɛŋ 	陰平55	腥, 星	2
581	ɬɛŋ 	陰上35	醒	1
582	ɬeŋ 	陰平55	星	1
583	ɬeŋ 	陰上35	醒	1
584	ɬeŋ 	陰去33	姓, 性	2
585	ɬuŋ 	陰平55	鬆, 嵩, 淞	3
586	ɬuŋ 	陰去33	宋, 送	2
587	ɬap 	中入33	圾	1
588	ɬɐp 	陽入22	趿	1
589	ɬat 	中入33	撒, 薩	2
590	ɬɐt 	陰入55	膝, 戌, 悉	3
591	ɬɐt 	陽入22	術	1
592	ɬit 	中入33	泄	1
593	ɬyt 	中入33	薛, 雪	2
594	ɬɐk 	陰入55	塞	1
595	ɬɔk 	中入33	烙, 洛, 索, 絡, 朔, 酪, 駱	7
596	ɬɔk 	陽入22	落, 樂	2
597	ɬɛk 	中入33	錫	1
598	ɬek 	陰入55	惜, 析, 瑟, 熄, 恤, 媳, 息, 昔	8
599	ɬuk 	陰入55	宿, 夙, 肅, 粟	4
600	lœŋ 	陽平21	良, 糧, 涼, 量, 粱, 梁	6
601	lœŋ 	陰上35	兩, 輛	2
602	lœŋ 	陽上24	兩	1
603	lœŋ 	陽去22	量, 亮, 諒	3
604	lœk 	陽入22	掠, 略	2
605	lɔ 	陰平55	囉	1
606	lɔ 	陽平21	蘿, 腡, 籮, 羅, 騾, 鑼, 螺, 邏	8
607	lɔ 	陰上35	裸	1
608	li 	陰平55	釐	1
609	li 	陽平21	梨, 離, 狸, 籬	4
610	li 	陽上24	裏, 鯉, 里, 李, 理	5
611	li 	陽去22	痢, 吏, 莉, 利	4
612	lu 	陰平55	撈	1
613	lu 	陽平21	蘆, 盧, 爐, 鸕, 牢, 勞	6
614	lu 	陰上35	佬	1
615	lu 	陽上24	滷, 櫓, 老, 虜, 魯	5
616	lu 	陽去22	露, 路	2
617	ly 	陽平21	驢	1
618	ly 	陽上24	旅, 呂	2
619	ly 	陽去22	濾, 慮	2
620	lai 	陰平55	拉	1
621	lai 	陽去22	賴	1
622	lɐi 	陽平21	黎, 犁, 來	3
