ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1138	搕	搕	∅əp3	∅ɐp3	ap2	1997年李榮主編《南寧平話詞典》引論P20，21	合在一起漚：～草皮、～肥料、～做一堆	原文作「罨」字
1139	𤗈	𤗈	ɬep3	ɬɛp3	slep2	1997年李榮主編《南寧平話詞典》引論P20，21	～平檯腳：墊平桌腳	
1140	篋	箧	kep3	kɛp3	gep2	1997年李榮主編《南寧平話詞典》引論P20，21	皮～：小皮箱	
1141	鉢	钵	put3	put3	but2	1997年李榮主編《南寧平話詞典》引論P22		
1142	鼻	鼻	pət2	pɐt2	bat6	1997年李榮主編《南寧平話詞典》引論P22		
1143	襪	袜	mat23	mat24	maat5	1997年李榮主編《南寧平話詞典》引論P22		
1144	物	物	fət23	fɐt24	fat5	1997年李榮主編《南寧平話詞典》引論P22		
1145	窟	窟	βət3	wɐt3	wat2	1997年李榮主編《南寧平話詞典》引論P22		
1146	活	活	βət2	wɐt2	wat6	1997年李榮主編《南寧平話詞典》引論P22		
1147	挖	挖	βet3	wɛt3	wet2	1997年李榮主編《南寧平話詞典》引論P22		
1148	捺	捺	nat23	nat24	naat5	1997年李榮主編《南寧平話詞典》引論P22		
1149	捏	捏	net3	nɛt3	net2	1997年李榮主編《南寧平話詞典》引論P22	扭～，舉止言行不大方	據原文P153釋義補充
1150	捋	捋	lut23	lut24	lut5	1997年李榮主編《南寧平話詞典》引論P22		
1151	列	列	lyt23	lyt24	lyut5	1997年李榮主編《南寧平話詞典》引論P22		
1152	設	设	tsʰyt3	tʃʰyt3	cyut2	1997年李榮主編《南寧平話詞典》引論P22		
1153	舌	舌	sit2	ʃit2	sit6	1997年李榮主編《南寧平話詞典》引論P22		
1154	折	折	syt2	ʃyt2	syut6	1997年李榮主編《南寧平話詞典》引論P22		
1155	術	术	ɬət2	ɬɐt2	slat6	1997年李榮主編《南寧平話詞典》引論P22		
1156	逸	逸	∅iət3	jɐt3	jat2	1997年李榮主編《南寧平話詞典》引論P22		
1157	結	结	kyt3	kyt3	gyut2	1997年李榮主編《南寧平話詞典》引論P22		
1158	潔	洁	kyt2	kyt2	gyut6	1997年李榮主編《南寧平話詞典》引論P22		
1159	葛	葛	kat3	kat3	gaat2	1997年李榮主編《南寧平話詞典》引論P22		
1160	割	割	ket3	kɛt3	get2	1997年李榮主編《南寧平話詞典》引論P22		
1161	轄	辖	hat2	hat2	haat6	1997年李榮主編《南寧平話詞典》引論P22		
1162	訖	讫	hət3	hɐt3	hat2	1997年李榮主編《南寧平話詞典》引論P22		
1163	壓	压	∅at3	∅at3	aat2	1997年李榮主編《南寧平話詞典》引論P22		
1164	括	括	kuat3	kʷat3	gwaat2	1997年李榮主編《南寧平話詞典》引論P22		
1165	腯	腯	tut5	tut5	dut3	1997年李榮主編《南寧平話詞典》引論P22	肥～～：胖乎乎	原文有音無字
1166	囗(lut2)	囗(lut2)	lut3	lut3	lut2	1997年李榮主編《南寧平話詞典》引論P22	撮：擰(拿)鏟箕來～垃圾	原文有音無字
1167	嗗	嗗	kut2	kut2	gut6	1997年李榮主編《南寧平話詞典》引論P22	象聲詞，喝水聲	原文有音無字
1168	出	出	tsʰyt5	tʃʰyt5	cyut3	1997年李榮主編《南寧平話詞典》引論P22	釘～頭喇：釘子穿透某物露出頭了	原文有音無字
1169	𪒜	𪒜	mat5	mat5	maat3	1997年李榮主編《南寧平話詞典》引論P22	黑～～：非常黑	原文有音無字。1937年邕寧縣修誌委員會《邕寧縣誌(第4冊)》P22中的早期平話童謠亦有記載，字形「黑壓壓」
1170	滑	滑	βat5	wat5	waat3	1997年李榮主編《南寧平話詞典》引論P22	生～～：(鷄、魚等)活蹦亂跳的	原文有音無字
1171	剌	剌	lat2	lat2	laat6	1997年李榮主編《南寧平話詞典》引論P22	～擦[tsʰat2]，蒼白：渠面色～嘅	原文有音無字
1172	灒	𪷽	tsat5	tʃat5	zaat3	1997年李榮主編《南寧平話詞典》引論P22	濺：捱汽車～得一身泥水	原文有音無字
1173	濽	𪷽	tsat5	tʃat5	zaat3	1997年李榮主編《南寧平話詞典》引論P22	濺：捱汽車～得一身泥水	原文有音無字
1174	窒	窒	tsat2	tʃat2	zaat6	1997年李榮主編《南寧平話詞典》引論P22	肚～：肚子不消化	原文有音無字
1175	擦	擦	tsʰat2	tʃʰat2	caat6	1997年李榮主編《南寧平話詞典》引論P22	剌[lat2]～，蒼白：渠面色～嘅	原文有音無字
1176	軋	轧	ɲat5	ȵat5	njaat3	1997年李榮主編《南寧平話詞典》引論P22	利錢粗～～，冇想吃(舌頭粗澀，不想吃飯)	原文有音無字
1177	攃	攃	ɬat5	ɬat5	slaat3	1997年李榮主編《南寧平話詞典》引論P22	象聲詞：褲𧟘～喇(褲襠撕裂了)	原文有音無字
1178	躠	躠	ɬat2	ɬat2	slaat6	1997年李榮主編《南寧平話詞典》引論P22	劫～～：形容很澀	原文有音無字
