ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1087	脣	唇	ʃyn21	ʃyn21	syun4	2015年語保工程(單字)	老派	
1088	順	顺	ʃɐn22	ʃɐn22	san6	2015年語保工程(單字)		
1089	順	顺	ʃyn22	ʃyn22	syun6	2015年語保工程(單字)	老派	林亦調查點誤作[ʃyn33]，唐七元調查點對
1090	純	纯	ʃɐn21	ʃɐn21	san4	2015年語保工程(單字)		
1091	閏	闰	Ǿiɐn22	jɐn22	jan6	2015年語保工程(單字)		
1092	均	均	khuɐn55	kʷʰɐn55	kwan1	2015年語保工程(單字)		
1093	均	均	kuɐn55	kʷɐn55	gwan1	2015年語保工程(單字)		
1094	勻	匀	Ǿuɐn21	wɐn21	wan4	2015年語保工程(單字)		
1095	律	律	lɐt2	lɐt2	lat6	2015年語保工程(單字)		
1096	出	出	ʧhyt5	tʃʰyt5	cyut1	2015年語保工程(單字)		
1097	橘	橘	kɐt5	kɐt5	gat1	2015年語保工程(單字)		
1098	分	分	fɐn55	fɐn55	fan1	2015年語保工程(單字)	動詞	
1099	粉	粉	fɐn35	fɐn35	fan2	2015年語保工程(單字)		
1100	糞	粪	fɐn33	fɐn33	fan3	2015年語保工程(單字)		
1101	墳	坟	fɐn21	fɐn21	fan4	2015年語保工程(單字)		
1102	蚊	蚊	mɐn55	mɐn55	man1	2015年語保工程(單字)		
1103	問	问	mɐn22	mɐn22	man6	2015年語保工程(單字)		
1104	軍	军	kuɐn55	kʷɐn55	gwan1	2015年語保工程(單字)		
1105	裙	裙	khuɐn21	kʷʰɐn21	kwan4	2015年語保工程(單字)		
1106	燻	熏	fɐn55	fɐn55	fan1	2015年語保工程(單字)		
1107	燻	熏	Ǿuɐn55	wɐn55	wan1	2015年語保工程(單字)		
1108	熏	熏	fɐn55	fɐn55	fan1	2015年語保工程(單字)		
1109	熏	熏	Ǿuɐn55	wɐn55	wan1	2015年語保工程(單字)		
1110	云	云	Ǿuɐn21	wɐn21	wan4	2015年語保工程(單字)		
1111	雲	云	Ǿuɐn21	wɐn21	wan4	2015年語保工程(單字)	～彩	
1112	運	运	Ǿuɐn22	wɐn22	wan6	2015年語保工程(單字)		
1113	佛	佛	fɐt2	fɐt2	fat6	2015年語保工程(單字)	～像	
1114	物	物	mɐt2	mɐt2	mat6	2015年語保工程(單字)		
1115	幫	帮	pɔŋ55	pɔŋ55	bong1	2015年語保工程(單字)		
1116	忙	忙	mɔŋ21	mɔŋ21	mong4	2015年語保工程(單字)		
1117	黨	党	tɔŋ35	tɔŋ35	dong2	2015年語保工程(單字)		
1118	湯	汤	thɔŋ55	tʰɔŋ55	tong1	2015年語保工程(單字)		
1119	糖	糖	thɔŋ21	tʰɔŋ21	tong4	2015年語保工程(單字)		
1120	浪	浪	lɔŋ22	lɔŋ22	long6	2015年語保工程(單字)		
1121	倉	仓	ʧhɔŋ55	tʃʰɔŋ55	cong1	2015年語保工程(單字)		
1122	鋼	钢	kɔŋ55	kɔŋ55	gong1	2015年語保工程(單字)	名詞	
1123	鋼	钢	kɔŋ33	kɔŋ33	gong3	2015年語保工程(單字)	名詞	
1124	糠	糠	hɔŋ55	hɔŋ55	hong1	2015年語保工程(單字)		
1125	薄	薄	pɔk2	pɔk2	bok6	2015年語保工程(單字)	形容詞	
1126	摸	摸	mɔ55	mɔ55	mo1	2015年語保工程(單字)		
1127	托	托	thɔk3	tʰɔk3	tok3	2015年語保工程(單字)		
1128	託	托	thɔk3	tʰɔk3	tok3	2015年語保工程(單字)		
1129	落	落	lɔk2	lɔk2	lok6	2015年語保工程(單字)		
1130	作	作	ʧɔk3	tʃɔk3	zok3	2015年語保工程(單字)		
1131	索	索	ɬɔk3	ɬɔk3	slok3	2015年語保工程(單字)		
1132	各	各	kɔk3	kɔk3	gok3	2015年語保工程(單字)		
1133	鶴	鹤	hɔk2	hɔk2	hok6	2015年語保工程(單字)		
1134	惡	恶	Ǿɔk3	∅ɔk3	ok3	2015年語保工程(單字)	形容詞	
1135	娘	娘	nœŋ21	nœŋ21	noeng4	2015年語保工程(單字)		
1136	兩	两	lœŋ24	lœŋ24	loeng5	2015年語保工程(單字)		
1137	亮	亮	lœŋ22	lœŋ22	loeng6	2015年語保工程(單字)		
1138	漿	浆	ʧœŋ55	tʃœŋ55	zoeng1	2015年語保工程(單字)		原文誤作[ʧœŋ35]
1139	搶	抢	ʧhœŋ35	tʃʰœŋ35	coeng2	2015年語保工程(單字)		
1140	匠	匠	ʧœŋ22	tʃœŋ22	zoeng6	2015年語保工程(單字)		
1141	想	想	ɬœŋ35	ɬœŋ35	sloeng2	2015年語保工程(單字)		
1142	像	像	ʧœŋ22	tʃœŋ22	zoeng6	2015年語保工程(單字)		
1143	張	张	ʧœŋ55	tʃœŋ55	zoeng1	2015年語保工程(單字)	量詞	
1144	長	长	ʧhœŋ21	tʃʰœŋ21	coeng4	2015年語保工程(單字)	～短	
1145	裝	装	ʧɔŋ55	tʃɔŋ55	zong1	2015年語保工程(單字)		
1146	壯	壮	ʧɔŋ33	tʃɔŋ33	zong3	2015年語保工程(單字)		
1147	瘡	疮	ʧhɔŋ55	tʃʰɔŋ55	cong1	2015年語保工程(單字)		
1148	床	床	ʧhɔŋ21	tʃʰɔŋ21	cong4	2015年語保工程(單字)		
1149	牀	床	ʧhɔŋ21	tʃʰɔŋ21	cong4	2015年語保工程(單字)		
1150	霜	霜	ɬœŋ55	ɬœŋ55	sloeng1	2015年語保工程(單字)		
1151	章	章	ʧœŋ55	tʃœŋ55	zoeng1	2015年語保工程(單字)		
1152	廠	厂	ʧhɔŋ35	tʃʰɔŋ35	cong2	2015年語保工程(單字)		
1153	唱	唱	ʧhœŋ33	tʃʰœŋ33	coeng3	2015年語保工程(單字)		
1154	傷	伤	ʃœŋ55	ʃœŋ55	soeng1	2015年語保工程(單字)		
1155	嘗	尝	ʧhœŋ21	tʃʰœŋ21	coeng4	2015年語保工程(單字)		
1156	上	上	ʃœŋ24	ʃœŋ24	soeng5	2015年語保工程(單字)	～去	
1157	讓	让	Ǿiœŋ22	jœŋ22	joeng6	2015年語保工程(單字)		
1158	姜	姜	kœŋ55	kœŋ55	goeng1	2015年語保工程(單字)		
1159	薑	姜	kœŋ55	kœŋ55	goeng1	2015年語保工程(單字)	生～	
1160	響	响	hœŋ35	hœŋ35	hoeng2	2015年語保工程(單字)		
1161	向	向	hœŋ33	hœŋ33	hoeng3	2015年語保工程(單字)		
1162	秧	秧	Ǿiœŋ55	jœŋ55	joeng1	2015年語保工程(單字)		
1163	癢	痒	Ǿiœŋ24	jœŋ24	joeng5	2015年語保工程(單字)		
1164	樣	样	Ǿiœŋ22	jœŋ22	joeng6	2015年語保工程(單字)		
1165	雀	雀	ʧhœk3	tʃʰœk3	coek3	2015年語保工程(單字)		
1166	削	削	ɬœk3	ɬœk3	sloek3	2015年語保工程(單字)		
1167	着	着	ʧœk2	tʃœk2	zoek6	2015年語保工程(單字)	火～了	
1168	勺	勺	ʃɛk2	ʃɛk2	sek6	2015年語保工程(單字)		
1169	弱	弱	Ǿiœk2	jœk2	joek6	2015年語保工程(單字)		
1170	腳	脚	kœk3	kœk3	goek3	2015年語保工程(單字)		
1171	約	约	Ǿiœk3	jœk3	joek3	2015年語保工程(單字)		
1172	藥	药	Ǿiœk2	jœk2	joek6	2015年語保工程(單字)		
1173	光	光	kɔŋ55	kɔŋ55	gong1	2015年語保工程(單字)	～線	
1174	慌	慌	fɔŋ55	fɔŋ55	fong1	2015年語保工程(單字)		
1175	黃	黄	Ǿuɔŋ21	wɔŋ21	wong4	2015年語保工程(單字)		
1176	郭	郭	khɔk3	kʰɔk3	kok3	2015年語保工程(單字)		
1177	霍	霍	khɔk3	kʰɔk3	kok3	2015年語保工程(單字)		
1178	方	方	fɔŋ55	fɔŋ55	fong1	2015年語保工程(單字)		
1179	放	放	fɔŋ33	fɔŋ33	fong3	2015年語保工程(單字)		
1180	紡	纺	fɔŋ35	fɔŋ35	fong2	2015年語保工程(單字)		
1181	房	房	fɔŋ21	fɔŋ21	fong4	2015年語保工程(單字)		
1182	防	防	fɔŋ21	fɔŋ21	fong4	2015年語保工程(單字)		
1183	網	网	mɔŋ24	mɔŋ24	mong5	2015年語保工程(單字)		
1184	筐	筐	khuaŋ55	kʷʰaŋ55	kwaang1	2015年語保工程(單字)		
1185	狂	狂	khɔŋ21	kʰɔŋ21	kong4	2015年語保工程(單字)		
1186	王	王	Ǿuɔŋ21	wɔŋ21	wong4	2015年語保工程(單字)		
1187	旺	旺	Ǿuɔŋ22	wɔŋ22	wong6	2015年語保工程(單字)		
1188	縛	缚	fuk2	fʊk2	fuk6	2015年語保工程(單字)		
1189	綁	绑	pɔŋ35	pɔŋ35	bong2	2015年語保工程(單字)		
1190	胖	胖	phun24	pʰun24	pun5	2015年語保工程(單字)		
1191	棒	棒	phɔŋ24	pʰɔŋ24	pong5	2015年語保工程(單字)		
1192	樁	桩	ʧɔŋ55	tʃɔŋ55	zong1	2015年語保工程(單字)		
1193	撞	撞	ʧɔŋ22	tʃɔŋ22	zong6	2015年語保工程(單字)		
1194	窗	窗	ʧhɔŋ55	tʃʰɔŋ55	cong1	2015年語保工程(單字)		
1195	窗	窗	ʧhœŋ55	tʃʰœŋ55	coeng1	2015年語保工程(單字)		
1196	雙	双	ʃœŋ55	ʃœŋ55	soeng1	2015年語保工程(單字)		
1197	江	江	kɔŋ55	kɔŋ55	gong1	2015年語保工程(單字)		
1198	講	讲	kɔŋ35	kɔŋ35	gong2	2015年語保工程(單字)		
1199	降	降	hɔŋ21	hɔŋ21	hong4	2015年語保工程(單字)	投～	林亦、唐七元調查點
1200	降	降	kɔŋ33	kɔŋ33	gong3	2015年語保工程(單字)		唐七元調查點
1201	項	项	hɔŋ22	hɔŋ22	hong6	2015年語保工程(單字)		
1202	剝	剥	pɔk3	pɔk3	bok3	2015年語保工程(單字)		
1203	桌	桌	ʧɔk3	tʃɔk3	zok3	2015年語保工程(單字)		林亦調查點
1204	桌	桌	ʧœk3	tʃœk3	zoek3	2015年語保工程(單字)		唐七元調查點
1205	鐲	镯	ʧɔk2	tʃɔk2	zok6	2015年語保工程(單字)		
1206	角	角	kɔk3	kɔk3	gok3	2015年語保工程(單字)		
1207	殼	壳	hɔk3	hɔk3	hok3	2015年語保工程(單字)		
1208	學	学	hɔk2	hɔk2	hok6	2015年語保工程(單字)		
1209	握	握	ŋɐk5	ŋɐk5	ngak1	2015年語保工程(單字)		
1210	握	握	ɐk5	∅ɐk5	ak1	2015年語保工程(單字)		
1211	朋	朋	phɐŋ21	pʰɐŋ21	pang4	2015年語保工程(單字)		
1212	燈	灯	tɐŋ55	tɐŋ55	dang1	2015年語保工程(單字)		
1213	等	等	tɐŋ35	tɐŋ35	dang2	2015年語保工程(單字)		
1214	凳	凳	tɐŋ33	tɐŋ33	dang3	2015年語保工程(單字)		
1215	藤	藤	thɐŋ21	tʰɐŋ21	tang4	2015年語保工程(單字)		
1216	能	能	nɐŋ21	nɐŋ21	nang4	2015年語保工程(單字)		
1217	層	层	ʧhɐŋ21	tʃʰɐŋ21	cang4	2015年語保工程(單字)		
1218	僧	僧	ʧɐŋ55	tʃɐŋ55	zang1	2015年語保工程(單字)		
1219	肯	肯	hɐŋ35	hɐŋ35	hang2	2015年語保工程(單字)		
1220	北	北	pɐk5	pɐk5	bak1	2015年語保工程(單字)		
1221	墨	墨	mɐk2	mɐk2	mak6	2015年語保工程(單字)		
1222	得	得	tɐk5	tɐk5	dak1	2015年語保工程(單字)		
1223	特	特	tɐk2	tɐk2	dak6	2015年語保工程(單字)		
1224	賊	贼	ʧhɐk2	tʃʰɐk2	cak6	2015年語保工程(單字)		
1225	塞	塞	ɬɐk5	ɬɐk5	slak1	2015年語保工程(單字)		
1226	刻	刻	khɐk5	kʰɐk5	kak1	2015年語保工程(單字)		
1227	刻	刻	hɐk5	hɐk5	hak1	2015年語保工程(單字)		
1228	黑	黑	hɐk5	hɐk5	hak1	2015年語保工程(單字)		
1229	冰	冰	peŋ55	peŋ55	bing1	2015年語保工程(單字)		
1230	證	证	ʧeŋ33	tʃeŋ33	zing3	2015年語保工程(單字)		
1231	秤	秤	ʧheŋ33	tʃʰeŋ33	cing3	2015年語保工程(單字)		
1232	繩	绳	ʃeŋ21	ʃeŋ21	sing4	2015年語保工程(單字)		
1233	剩	剩	ʧeŋ22	tʃeŋ22	zing6	2015年語保工程(單字)		
1234	升	升	ʃeŋ55	ʃeŋ55	sing1	2015年語保工程(單字)		
1235	興	兴	heŋ33	heŋ33	hing3	2015年語保工程(單字)	高～	
1236	蠅	蝇	Ǿieŋ55	jeŋ55	jing1	2015年語保工程(單字)		
1237	逼	逼	pek5	pek5	bik1	2015年語保工程(單字)		
1238	力	力	lek2	lek2	lik6	2015年語保工程(單字)		
1239	息	息	ɬek5	ɬek5	slik1	2015年語保工程(單字)		
