ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
3297	㿭	㿭	ʧʰiɐk3	tʃʰiɐk3	ciak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	皮幹開裂，皴。	
3298	鋥	锃	ʧɐŋ22	tʃɐŋ22	zang6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	鋥光。	
3299	䂻	䂻	ʧɐŋ22	tʃɐŋ22	zang6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P797	塞。	
3300	宅	宅	ʧiɐk2	tʃiɐk2	ziak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	宅基，某宅。	
3301	擇	择	ʧiɐk2	tʃiɐk2	ziak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	選擇，擇菜。	
3302	澤	泽	ʧiɐk2	tʃiɐk2	ziak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	光澤。	
3303	窄	窄	ʧiɐk3	tʃiɐk3	ziak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	狹窄。	
3304	鐺	铛	ʧʰiɐŋ53	tʃʰiɐŋ53	ciang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	烙餅用具。	
3305	生	生	ʃiɐŋ53	ʃiɐŋ53	siang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	生活，生熟，生小孩。	
3306	牲	牲	ʃiɐŋ53	ʃiɐŋ53	siang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	犧牲，畜牲。	
3307	甥	甥	ʃiɐŋ53	ʃiɐŋ53	siang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	外甥。	
3308	笙	笙	ʃiɐŋ53	ʃiɐŋ53	siang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	樂器。	
3309	省	省	ʃiɐŋ33	ʃiɐŋ33	siang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	節省，省長。	
3310	更	更	kɐŋ53	kɐŋ53	gang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	更換。	
3311	庚	庚	kɐŋ53	kɐŋ53	gang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	天干，庚子。	
3312	羹	羹	kɐŋ53	kɐŋ53	gang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	調羹。	
3313	粳	粳	kɐŋ53	kɐŋ53	gang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	粳米。	
3314	哽	哽	kɐŋ33	kɐŋ33	gang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	哽住，哽咽，骨哽在喉。	
3315	梗	梗	kɐŋ33	kɐŋ33	gang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	菜梗，桔梗。	
3316	埂	埂	kɐŋ33	kɐŋ33	gang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P798	田埂。	
3317	更	更	kɐŋ55	kɐŋ55	gang3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P799	更加。	
3318	格	格	kiɐk3	kiɐk3	giak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P799	格子，出格。	
3319	坑	坑	kʰɐŋ53	kʰɐŋ53	kang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P799	挖坑，坑害。	
3320	客	客	hiɐk3	hiɐk3	hiak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P799	客人，作客。	
