ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1280	挑	挑	tʰiu53	tʰiu53	tiu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148	挑擔	
1281	跳	跳	tʰiu55	tʰiu55	tiu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
1282	跳	跳	tiu21	tiu21	diu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
1283	條	条	tiu21	tiu21	diu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1284	調	调	tiu21	tiu21	diu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P148	調和	
1285	掉	掉	tiu22	tiu22	diu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P151		
1286	調	调	tiu22	tiu22	diu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P151	調動	
1287	尿	尿	niu22	niu22	niu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P151	小便	
1288	遼	辽	liu21	liu21	liu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P149		
1289	聊	聊	liu21	liu21	liu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P149		
1290	寥	寥	liu21	liu21	liu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P149		
1291	撩	撩	liu53	liu53	liu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P149		
1292	了	了	liu24	liu24	liu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P150		
1293	瞭	瞭	liu21	liu21	liu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P150		
1294	料	料	liu22	liu22	liu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P152		
1295	蕭	萧	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1296	簫	箫	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1297	澆	浇	kiu53	kiu53	giu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P148		
1298	繳	缴	kiu33	kiu33	giu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P150		
