ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
221	浦	浦	pʰu33	pʰu33	pu2	2000年李連進《平話音韻研究》P25		
222	鋪	铺	pʰu55	pʰu55	pu3	2000年李連進《平話音韻研究》P26	店鋪	
223	怖	怖	pu55	pu55	bu3	2000年李連進《平話音韻研究》P26	恐怖	
224	蒲	蒲	pu21	pu21	bu4	2000年李連進《平話音韻研究》P26		
225	菩	菩	pu21	pu21	bu4	2000年李連進《平話音韻研究》P26	菩薩	
226	脯	脯	pʰu33	pʰu33	pu2	2000年李連進《平話音韻研究》P26	胸脯	
227	部	部	pu223	pu22	bu6	2000年李連進《平話音韻研究》P26		
228	簿	簿	pu223	pu22	bu6	2000年李連進《平話音韻研究》P26		
229	步	步	pʰu33	pʰu33	pu2	2000年李連進《平話音韻研究》P26		原文如此，疑與鄰近的「捕」字弄反，應讀[pu223]
230	捕	捕	pu223	pu22	bu6	2000年李連進《平話音韻研究》P26		原文如此，疑與鄰近的「步」字弄反，應讀[pʰu33]
231	埠	埠	pu223	pu22	bu6	2000年李連進《平話音韻研究》P26	商埠	
232	模	模	mɔ41	mo53	mo1	2000年李連進《平話音韻研究》P27	模子；模範	
233	摹	摹	mɔ41	mo53	mo1	2000年李連進《平話音韻研究》P27	摹仿	
234	暮	暮	møk3	mœk3	moek2	2000年李連進《平話音韻研究》P27		原文如此，疑誤
235	慕	慕	mu223	mu22	mu6	2000年李連進《平話音韻研究》P27		
236	墓	墓	mu223	mu22	mu6	2000年李連進《平話音韻研究》P27		
237	募	募	mu223	mu22	mu6	2000年李連進《平話音韻研究》P27		
238	都	都	tu41	tu53	du1	2000年李連進《平話音韻研究》P27	都城；都是	
239	堵	堵	tu33	tu33	du2	2000年李連進《平話音韻研究》P27		
240	賭	赌	tu33	tu33	du2	2000年李連進《平話音韻研究》P28		
241	肚	肚	tʰu13	tʰu24	tu5	2000年李連進《平話音韻研究》P28	魚肚	
242	妬	妒	tu55	tu55	du3	2000年李連進《平話音韻研究》P28		
243	妒	妒	tu55	tu55	du3	2000年李連進《平話音韻研究》P28		原文作「妬」字
244	土	土	tʰu33	tʰu33	tu2	2000年李連進《平話音韻研究》P28		
245	吐	吐	tʰu55	tʰu55	tu3	2000年李連進《平話音韻研究》P28	吐痰；嘔吐	
246	兔	兔	tʰu55	tʰu55	tu3	2000年李連進《平話音韻研究》P28		
247	徒	徒	tu21	tu21	du4	2000年李連進《平話音韻研究》P28		
248	屠	屠	tu21	tu21	du4	2000年李連進《平話音韻研究》P28		
249	途	途	tu21	tu21	du4	2000年李連進《平話音韻研究》P28		
250	塗	涂	tu21	tu21	du4	2000年李連進《平話音韻研究》P29		
251	圖	图	tu21	tu21	du4	2000年李連進《平話音韻研究》P29		
252	杜	杜	tu223	tu22	du6	2000年李連進《平話音韻研究》P29		
253	肚	肚	tu33	tu33	du2	2000年李連進《平話音韻研究》P29	腹肚	
254	度	度	tu223	tu22	du6	2000年李連進《平話音韻研究》P29		
255	渡	渡	tu223	tu22	du6	2000年李連進《平話音韻研究》P29		
256	鍍	镀	tu223	tu22	du6	2000年李連進《平話音韻研究》P29		
257	奴	奴	nu21	nu21	nu4	2000年李連進《平話音韻研究》P29		
258	努	努	nu13	nu24	nu5	2000年李連進《平話音韻研究》P29		
259	怒	怒	nu223	nu22	nu6	2000年李連進《平話音韻研究》P29		
260	盧	卢	lu21	lu21	lu4	2000年李連進《平話音韻研究》P30		
261	爐	炉	lu21	lu21	lu4	2000年李連進《平話音韻研究》P30		
262	蘆	芦	lu21	lu21	lu4	2000年李連進《平話音韻研究》P30	蘆葦	
263	鸕	鸬	lu21	lu21	lu4	2000年李連進《平話音韻研究》P30	鸕鷀	
264	魯	鲁	lu13	lu24	lu5	2000年李連進《平話音韻研究》P30		
265	櫓	橹	lu13	lu24	lu5	2000年李連進《平話音韻研究》P30		
266	虜	虏	lu13	lu24	lu5	2000年李連進《平話音韻研究》P30		
267	滷	卤	lu13	lu24	lu5	2000年李連進《平話音韻研究》P30		
268	路	路	lu223	lu22	lu6	2000年李連進《平話音韻研究》P30		
269	賂	赂	lEk3	liɐk3	liak2	2000年李連進《平話音韻研究》P30		
270	露	露	lu223	lu22	lu6	2000年李連進《平話音韻研究》P31		
271	鷺	鹭	lu223	lu22	lu6	2000年李連進《平話音韻研究》P31	鷺鷥	
272	租	租	tɕu41	tʃu53	zu1	2000年李連進《平話音韻研究》P31		
273	祖	祖	tɕu33	tʃu33	zu2	2000年李連進《平話音韻研究》P31		
