繁體	簡體	南寧白話	又音	廣州話
肨	肨	pong3	(又)pun4,(又)pung4	pong3
肩	肩	gin1		gin1
肪	肪	fong1		fong1
肫	肫	zan1	(老派)zyun1,(訓)san5「訓讀爲腎」,(語)kan5「禽類的胃，又作胗字」	zeon1
肭	肭	nat6		neot6
肮	肮	ong1		ong1
肯	肯	hang2		hang2；中肯又讀hoi2
肱	肱	gwang1		gwang1
育	育	juk1		juk6
肴	肴	ngaau4		ngaau4
肺	肺	fai3		fai3
胂	胂	san6		san6
胃	胃	wai6		wai6
胄	胄	zau6		zau6
胈	胈	baat6		bat6
背	背	bui6「背書」,bui3「背脊」		1)bui3:背後 2)bui6:背書
胍	胍	gwaa1「有機化合物」,gu1「胍𦘴」		gwaa1,gu1
胎	胎	toi1		toi1
胏	胏	zi2	(老派)zy2	zi2
胐	胐	fat1「臀」	(白)wat1	fat1
胑	胑	zi1		zi1
胖	胖	pun5「肥胖」,pun4「心廣體胖」	(常)pong3「肥胖」	bun6；心廣體胖又讀pun4
胗	胗	zan1	(訓)san5「訓讀爲腎」,(語)kan5「禽類的胃，又作肫字」	zan1
胙	胙	zu6		zou6
胚	胚	pui1		pui1
胛	胛	gaap3		gaap3
胜	胜	sing3「同勝字」,sing1「同勝字」		sing3,sing1
胞	胞	baau1「細胞」	(白)beu1「胞胎」	baau1
胠	胠	kyu1		keoi1
胡	胡	wu4		wu4
胣	胣	ci2		ci2
胤	胤	jan6		jan6
胥	胥	slyu1		seoi1
胭	胭	jin1		jin1
胯	胯	kwaa3	(又)kwaa1	kwaa1,kwaa3
胰	胰	ji4		ji4
胱	胱	(書)gwong1	(習)gong1	gwong1
胳	胳	gok3「胳臂」,gaak3「胳肋」		gaak3
胴	胴	dung6		dung6
胵	胵	ci1「膍胵，鳥類的胃」	(語)ci3「芙胵，家禽的內臟」	ci1,ci3
胸	胸	hung1		hung1
胺	胺	on3「化合物名稱」,aat3「胺臭」	(語)ngat1「屙～尿，尿淋」	aat3,on3
胼	胼	pin4		pin4
能	能	nang4		nang4
胾	胾	zi3	(老派)zy3	zi3
脂	脂	zi1		zi1
脅	胁	hip3		hip3
脆	脆	cui3		ceoi3
脇	脇	hip3		hip3
脈	脉	mak6		mak6
脉	脉	mak6		mak6
脊	脊	zek3	(又)zik3	zek3
脖	脖	but6		but6
脛	胫	ging3		ging3
脞	脞	co2		co2
脟	脟	lyut3		lyut3
脢	脢	mui4		mui4
脣	唇	san4	(老派)syun4	seon4
脤	脤	san5		san5
脧	脧	zyun1「減縮；剝削」,cui1「赤子陰」		ceoi1,zyun1
脩	修	slau1		sau1
脫	脱	tyut3		tyut3
脬	脬	paau1	(白)peu1	paau1
脯	脯	pu2「杏脯」,pu4「胸脯」		1)fu2:杏脯 2)pou2:胸脯
脰	脰	dau6		dau6
脱	脱	tyut3		tyut3
脷	脷	li6「舌頭」		lei6
脹	胀	zoeng3		zoeng3
脾	脾	pi4		pei4
腆	腆	(書)tin2	(習)dim2	tin2
腊	腊	laap6「同臘字」,slik1「乾肉」		laap6,sik1
腋	腋	jik6		jik6
腌	腌	(習)jip3「以鹽漬物」	(書)jim1「腌臢」	jim1；(語)jip3
腍	腍	nam4「松軟，爛熟」		nam4
腎	肾	san5		san6；(又)san5
腏	腏	zyut3	(語)cot6「男陰」	zyut3
腐	腐	fu6		fu6
腑	腑	fu2		fu2
腓	腓	fi4		fei4
腔	腔	hong1	(又)koeng1	hong1
腕	腕	wun2		wun2
腚	腚	ding6		ding6
腠	腠	cau3		cau3
腡	脶	lo4		lo4
腤	腤	am1		am1
腥	腥	(白)sleng1	(文)sling1	sing1；(語)seng1
腦	脑	nu5		nou5
腩	腩	naam5「腹部的肥肉」		naam5
腫	肿	zung2		zung2
腬	腬	nau6「膩」		nau6
腮	腮	sloi1		soi1
腯	腯	dat1「肥～～，胖貌」	(又)dyut1,(又)tan4,(又)det6「矮～～，矮貌」	dat1,teon5,dat6
腰	腰	jiu1		jiu1
腱	腱	gin3		gin3
腳	脚	goek3		goek3
腴	腴	jyu4		jyu4
腸	肠	coeng4		coeng4
腹	腹	fuk1		fuk1
腺	腺	slin3		sin3
腽	腽	wat1		wat1
腿	腿	tui2		teoi2
膀	膀	bong2「肩膀」,pong4「膀胱」		1)bong2:肩膀 2)pong4:膀胱
膂	膂	lyu5		leoi5
膃	腽	wat1		wat1
膆	膆	(書)slu3「同嗉字」	(習)slui3,(又)slyu3	sou3
