繁體	簡體	南寧白話	又音	廣州話
勛	勋	(白)wan1	(文)fan1	fan1
勝	胜	sing3「勝利」,sing1「勝任」		1)sing3:聖地 2)sing1:勝任
勞	劳	lu4		lou4；慰勞又讀lou6
募	募	mu6		mou6
勠	勠	luk6		luk6
勢	势	sai3		sai3
勣	𪟝	zik1		zik1
勤	勤	kan4		kan4
勥	犟	goeng6「固執，又作犟字」		goeng6
勦	勦	ziu2		ziu2
勩	勚	ji6	(又)jai6,(語)het6「器物磨損」	jai6,ji6
勰	勰	hip3		hip3
勱	劢	maai6		maai6
勳	勋	(白)wan1	(文)fan1	fan1
勵	励	lai6		lai6
勸	劝	hyun3		hyun3
勺	勺	zoek3	(又)soek6	zoek3
勻	匀	wan4	(罕)jan4	wan4
勼	勼	gau1	(語)kau1「摻雜，混合」	gau1,kau1
勾	勾	(白)ngau1	(文)gau1	ngau1；(古)寫作句
勿	勿	mat6		mat6
匁	匁	jan6		jan6
匂	匂	wan4		wan4
包	包	(白)beu1	(文)baau1	baau1
匆	匆	cung1		cung1
匈	匈	hung1		hung1
匋	匋	tu4		tou4
匍	匍	pu4		pou4
匏	匏	paau4		paau4
匐	匐	fuk6	(又)baak6	fuk6；(又)baak6
匕	匕	bi3	(又)bi2	bei3；(又)bei2
化	化	faa3	(白)waa3	faa3
北	北	bak1		bak1
匙	匙	ci4「匙羹」,si4「鎖匙」		1)ci4:湯匙 2)si4:鑰匙
匜	匜	ji4		ji4
匝	匝	zaap3		zaap3
匠	匠	zoeng6		zoeng6
匡	匡	kwaang1	(又)kong1	hong1
匣	匣	haap6		haap6
匪	匪	fi2		fei2
匯	汇	wui6		wui6
匱	匮	gwai6		gwai6
匹	匹	pat1		pat1
匼	匼	hap1		hap1
匾	匾	(白)ben2	(文)bin2	bin2
匿	匿	nik6	(又)nik1	nik1
區	区	kyu1「區域」,au1「姓」		1)keoi1:區別 2)au1:姓區
十	十	sap6		sap6
千	千	cin1		cin1
卅	卅	slaa1		saa1
升	升	sing1		sing1
午	午	ng5		ng5
卉	卉	wai2		wai2
半	半	bun3		bun3
卌	卌	sle3		se3
卑	卑	bi1		bei1
卒	卒	zat1	(老派)zyut1	zeot1；(古)同猝cyut3
卓	卓	zoek3	(又)zok3	coek3
協	协	hip3		hip3；(又)hip6
南	南	naam4		naam4
博	博	bok3		bok3
卜	卜	buk1「占卜」	(常)puk1	buk1
卞	卞	bin6		bin6
占	占	zim1「占卜」,zim3「同佔字」		zim1
卡	卡	kaa1		1)kaa1:關卡 2)kaat1:資料卡
卣	卣	jau5		jau5
卦	卦	gwaa3		gwaa3
卧	卧	ngo6		ngo6
卬	卬	joeng5「同仰字」,ngong4「我；同昴字；姓」		joeng5,ngong4
卮	卮	zi1		zi1
卯	卯	maau5		mau5；(又)maau5
印	印	jan3		jan3
危	危	ngai4		ngai4
即	即	zik1		zik1
卵	卵	lyun2		leon2
卷	卷	gyun2		gyun2
卸	卸	sle3		se3
卹	恤	slat1	(老派)slyut1	seot1
卻	却	koek3		koek3
卼	卼	ngat6		ngat6
卽	即	zik1		zik1
卿	卿	hing1		hing1
厂	厂	hon3「山石之崖」,cong2「同廠字」		hon3,cong2
厄	厄	ak1	(又)ngak1	aak1
厎	厎	zi2	(又)dai2	zi2,dai2
厓	厓	ngaai4		ngaai4
厔	厔	zat6「同庢字」	(語)zat1「塞；瓶塞；又作庢字」	zat6
厘	厘	li4	(白)li1「一～子，一分錢」	lei4
厚	厚	hau5		hau5
厝	厝	cu3		cou3
原	原	jyun4		jyun4
厠	厕	ci3「厠所」,cak1「厠足」	(老派)cy3「厠所」	ci3
厥	厥	kyut3	(又)gyut3	kyut3
厭	厌	jim3		jim3
厲	厉	lai6「嚴厲」	(語)li6「厲害，本字利害」	lai6
厴	厣	jim2		jim2
厶	厶	si1「同私字」,mau5「同某字」	(老派)sy1	si1,mau5
去	去	hyu3		heoi3
厾	厾	duk1「戳，刺，捅」		duk1
叁	叁	slaam1		saam1
參	参	caam1「參加」,sam1「人參」,cam1「參差」		1)caam1:參加 2)sam1:參商 3)cam1:參差
叄	叄	slaam1		saam1
又	又	jau6		jau6
叉	叉	caa1		caa1
及	及	gap6		kap6
友	友	jau5		jau5
反	反	faan2		faan2
叒	叒	joek6		joek6
叔	叔	suk1		suk1
叕	叕	zyut3		zyut3
取	取	cyu2		ceoi2
受	受	sau6		sau6
叚	叚	gaa2		gaa2
叛	叛	pun3		bun6
叟	叟	slau2		sau2
叢	丛	cung4		cung4
口	口	hau2		hau2
古	古	gu2		gu2
句	句	gyu3		geoi3；同勾字
另	另	ling6		ling6
叨	叨	du1「嘮叨」,tu1「叨光」		1)tou1:叨光 2)dou1:叨嘮
叩	叩	kau3		kau3
只	只	zi2		zi2
叫	叫	giu3		giu3
召	召	ziu6		ziu6；(古人名)siu6召公
叭	叭	baa1		baa1
叮	叮	ding1		ding1
可	可	ho2		ho2；(古)hak1可汗
台	台	toi4		toi4
叱	叱	cik1		cik1
史	史	(習)sai2	(書)si2	si2
右	右	jau6		jau6
叵	叵	po2		po2
叶	叶	hip3「叶韻」		hip3
司	司	si1	(老派)sy1	si1
叻	叻	lek1「能幹」,lik1「叻埠」	(又)lak6「叻埠」	lak6,lek1,lik1
叼	叼	diu1		diu1
吁	吁	hyu1		heoi1
吃	吃	hek3「吃飯」,gat1「口吃」	(白)jaak3,(又)hat1,(又)hik1	hek3
各	各	gok3		gok3
吆	吆	jiu1「吆喝」	(語)eu1「叫，喊」	jiu1
合	合	hap6		hap6；gap3容量單位
吉	吉	gat1		gat1
吊	吊	diu3		diu3
吋	吋	cyun3		cyun3
同	同	tung4		tung4
名	名	ming4「名聲」	(白)meng4「人名」	ming4
后	后	hau6		hau6
吏	吏	li6		lei6
吐	吐	tu3		tou3
向	向	hoeng3		hoeng3
吒	咤	caak1「叱吒」,zaa1「哪吒」		1)zaa1:木吒 2)caak1:叱吒風雲
吓	吓	haak3「同嚇字」,haa1「嘆詞」		haak3,haa1
吔	吔	jaa1「語氣詞」		jaa1
吖	吖	aa1「語氣詞」		aa1
吙	吙	fo2	(又)hoe1「呼氣聲」,(語)fo4「擬聲詞，～～聲，火旺貌」	fo2
君	君	gwan1		gwan1
吝	吝	lan6	(老派)lyun6	leon6
吞	吞	tan1		tan1
吟	吟	jam4	(白)ngam4「吟沉，嘮叨」	jam4
吠	吠	fai6		fai6
否	否	fau2「否定」,pi2「否極泰來」		1)fau2:可否 2)pei2:臧否
吧	吧	baa1「酒吧」,baa6「助詞」		baa6
吨	吨	dan1		deon1
吩	吩	fan1		fan1
吪	吪	ngo4	(語)faa4「詞綴，水流～～」	faa4,ngo4
含	含	ham4		ham4
听	听	jan5「笑貌」,(白)teng1「同聽字」,ting3「同聽字」	(文)ting1	jan5,ting3,ting1,teng1
吭	吭	hong4「引吭高歌」,hang1「不吭聲」		1)hong4:引吭 2)hang1:不吭聲
吮	吮	syun5		syun5
吰	吰	hung4	(又)wang4	wang4
吱	吱	zi1		zi1
吳	吴	ng4		ng4
吵	吵	caau2	(白)ceu2	caau2
吶	呐	naap6		naap6；(又)nat6,neot6
吸	吸	kap1		kap1
吹	吹	cui1		ceoi1
吻	吻	man5		man5
吼	吼	hau2		haau1；(又)hau3
吽	吽	ngau6「吽哣，呆滯」,hung1「佛教六字真言之一」,hau2「同吼字」		hung1,hau2,ngau6
吾	吾	ng4		ng4
呀	呀	aa1	(又)jaa1,(語)ngaa1「擬聲詞，哭～～」,(語)nge1「擬聲詞，哭～～」	1)aa1:嘆詞 2)aa3:助詞
呂	吕	lyu5		leoi5
呃	呃	ak1「打～，打嗝」	(語)ngak1「欺騙，又作眲字」	aak1
呆	呆	daai1「書呆子」,ngoi4「呆板」	(又)ngaai4「呆板」	1)ngoi4:呆板 2)daai1:通獃,書獃子
呇	呇	hi2		hei2
呈	呈	cing4		cing4
告	告	gu3		gou3；忠告又讀guk1
呎	呎	cek3		cek3
呔	呔	(外)taai1「車～，英語tyre音譯」		taai1,toi2
呢	呢	ni4「呢絨，呢喃」,ne1「助詞」	(又)ni1「細呢呢，小貌」	1)nei4:呢喃 2)ne1:助詞
呣	呣	m2「表示疑問」,m6「表示答應」		m2,m6
呤	呤	ling4		ling4
呥	呥	jim4		jim4
呦	呦	jau1		jau1
周	周	zau1		zau1
呯	呯	ping4		ping4
呰	呰	zi2	(老派)zy2	zi2
呱	呱	gwaa1「頂呱呱」,gu1「呱呱墜地」		gwaa1
味	味	mi6		mei6
呵	呵	ho1		ho1
呶	呶	naau4		naau4
呷	呷	haap3「大口喝」		haap3
呸	呸	pi1		pei1
呻	呻	san1「呻吟」	(語)san3「訴苦」	san1
呼	呼	fu1		fu1
命	命	ming6「命令」	(白)meng6「性命」	ming6
咀	咀	zyu2		zeoi2
咁	咁	gam3「這麼，那麼」		gam3
咂	咂	zaap3		zaap3
咄	咄	dat1「咄咄逼人」	(語)dyut1「吻」,(語)doet1「吻」	deot1；(又)zyut3
咆	咆	paau4		paau4
咇	咇	bit1「噴射」		bit1
咋	咋	zaa3		zaa3
和	和	wo4		1)wo4:和氣 2)wo6:和詩
咎	咎	gau3		gau3
咐	咐	fu3	(又)fu6	fu3；本讀fu6
咑	咑	daak1「嘞～，不整潔」,daa1「吆喝牲口前進聲」		daa1,daak1
咒	咒	zau3		zau3
咔	咔	kaa4「阻塞；擬聲詞」,kaa1「擬聲詞」		kaa4,kaa1
咕	咕	gu1		gu1
咖	咖	gaa3	(又)kaa1	gaa3
咗	咗	zo2「助词，表示完成」		zo2
咚	咚	dung1		dung1
咡	咡	ji6		ji6
咦	咦	ji2		ji2；本讀ji4
咧	咧	lit6「咧嘴」,le1「大大咧咧」		lit6
咨	咨	zi1	(老派)zy1	zi1
咩	咩	me1		me1
咪	咪	mi1「貓咪」,mai1「話筒」		mei1；(又)mai1
咫	咫	zi2		zi2
咬	咬	(白)ngeu5	(文)ngaau5	ngaau5
咭	咭	gat1「象聲詞」,(外)kat1「卡片，英語card音譯」	(又)kaat1「卡片」	gat1,kat1,kaat1
咯	咯	lok3「咯血，咳血」,lo1「助詞」,gok3「雞叫聲」		1)lok3:咯血 2)lo1:助詞
咱	咱	zaa1		zaa1
咲	咲	sliu3		siu3
咳	咳	kat1		1)kat1:咳嗽 2)haai4:嘆詞
咷	咷	tu4		tou4
咸	咸	haam4「咸陽，老少咸宜」	(白)hem4「同鹹字」	haam4
咻	咻	jau1		jau1
咽	咽	jin3「吞咽」,jin1「咽喉」,jit3「哽咽」		1)jin1:咽頭 2)jin3:虎咽 3)jit3:哽咽
咿	咿	ji1「～㕭jaau1，不認真」		ji1
哀	哀	oi1		oi1
品	品	pan2		ban2
哂	哂	can2「哂笑」	(語)slaai3「助詞，又作嗮字」	can2
哃	哃	tung4		tung4
哄	哄	hung6「起哄」,hung2「哄騙」,hung1「亂哄哄」		1)hung1:哄堂大笑 2)hung3:哄騙
哅	哅	hung1		hung1
哆	哆	do1「哆嗦」,ci2「張口」		do1,ci2
哇	哇	waa1		waa1
哈	哈	haa1	(語)he1「笑哈哈」	haa1
哉	哉	zoi1		zoi1
哋	哋	di6「我哋，我們」		dei6,dei2
哎	哎	aai1	(又)ai3	aai1
哐	哐	kwaang1	(又)kong1	hong1
哞	哞	mau4		mau4
員	员	jyun4		jyun4；1)(古人名)wan4 2)wan6姓員
哢	哢	lung6		lung6
哣	哣	dau6「吽哣，呆滯」		dau6
哥	哥	go1		go1
哦	哦	o4「表示應允」,o2「表示驚奇」,ngo4「吟哦」		1)ngo4:吟哦 2)o2:嘆詞 3)o6:嘆詞
哧	哧	ci1	(又)cik1	ci1,cik1
哨	哨	(白)seu3「哨牙，齙牙」	(文)saau3「牙哨哨，齙牙貌」	saau3
哩	哩	li1「哩哩啦啦」,li5「英里」,le1「助詞」		1)lei5:英哩 2)le1:助詞 3)lei1:哩哩啦啦
哪	哪	naa5「哪些」,naa4「哪吒」		naa5；(古人名)naa4 哪吒
哭	哭	huk1		huk1
哮	哮	haau1		haau1
哲	哲	zit3		zit3
哳	哳	zaat3		zaat3
哺	哺	pu2	(又)bu6	bou6
哼	哼	hang1「哼唱」,hng6「感嘆詞」		1)hang1:哼歌 2)hng6:感嘆詞
哽	哽	ang2「～腳，硌腳」,gang2「骨～在喉，又作鯁/骾字」	(常)kang2「骨～在喉」	gang2
唁	唁	jin6		jin6
唄	呗	be6「語氣詞」,baai6「唄唱，梵唄」		baai6,be6
唆	唆	slo1		so1
唇	唇	san4	(老派)syun4	seon4
唈	唈	jap1		jap1
唉	唉	aai1「唉聲嘆氣」,aai6「嘆詞」		aai1
唎	唎	li6	(又)li1	lei6,li1
唏	唏	hi1		hei1
唐	唐	tong4		tong4
唑	唑	zo6		zo6
唓	唓	ce1		ce1
唔	唔	m4「否定詞」		ng4；(語)m4否定義
唚	吣	cam3		cam3
唞	唞	tau2「休息，本字敨/㪗」		tau2
唥	唥	laang6「冚𠾴～，全部」,laang1「擬聲詞，鈴聲」		laang6,laang1
唧	唧	zik1		zik1
唪	唪	fung2		fung2
唬	唬	fu2		fu2；同嚇
售	售	sau6		sau6
唯	唯	wai4「唯獨」		1)wai4:同惟 2)wai2:唯唯諾諾
唰	唰	caat3	(又)syut3	caat3,syut3
唱	唱	coeng3		coeng3
唳	唳	lui6		leoi6
唷	唷	jo1		jo1
唸	念	nim6		nim6
唾	唾	to3		to3；(又)toe3
啁	啁	zaau1	(白)zeu1「吱吱啁啁，唧唧喳喳」	zau1
啃	啃	hang2	(又)kang2,(語)hen2	hang2
啄	啄	doek3	(白)doeng1	doek3
商	商	soeng1		soeng1
啈	啈	hang1「嘆詞」,hng6「發狠聲」		hang1,hng6
啊	啊	aa1「表示驚訝」,aa2「表示疑問」,aa3「表示讚歎」,aa4「表示惋惜」		1)aa1:嘆詞，表示讚歎驚異 2)aa2:嘆詞，表示追問驚疑 3)aa3:嘆詞，表示應諾驚歎
啋	啋	coi1		coi1
問	问	man6		man6
啐	啐	cui3		ceoi3
啓	启	kai2		kai2
啕	啕	tu4		tou4
啖	啖	(量)daam6「口」		daam6
啜	啜	zyut3		zyut3
啝	啝	wo6「語氣詞」		wo6
啞	哑	aa2「啞巴」,ak1「啞然失笑」		1)aa2:聾啞 2)aa1:咿啞
啟	启	kai2		kai2
啡	啡	fe1	(又)fi1	fe1；(又)fei1
啢	唡	loeng2		loeng2
啣	啣	haam4		haam4
啤	啤	be1		be1
啥	啥	saa2		saa2
啦	啦	laa1		laa1
啩	啩	gwaa3「語氣詞」		gwaa3
啪	啪	paak1		paak1
啫	啫	ze1「語氣詞，而已」		ze1,zek1
啱	啱	ngaam1「剛剛；恰好；合適」		ngaam1
啲	啲	di1「一些」	(又)dit1	dit1,di1
啵	啵	bo1		bo1
啶	啶	ding6		ding6
啷	啷	long1「噹啷」		long1
啹	啹	goe1「撅；噘」	(又)koe1	goe1,koe1
啻	啻	ci3		ci3
啼	啼	tai4		tai4
啾	啾	zau1		zau1
喀	喀	haak3「喀山」,kaa1「喀嚓」		haak3
喁	喁	jung4「魚口向上」,jyu4「應和聲」		jung4,jyu4
喂	喂	wai3		wai3
喃	喃	(白)naam1「喃經；嘮叨」	(文)naam4「呢喃」	naam4
善	善	sin6		sin6
喆	喆	zit3		zit3
喇	喇	laa5「喇叭」,laa1「喇嘛」,laat3「哈喇」		1)laa3:喇叭 2)laa1:喇嘛
喈	喈	gaai1		gaai1
喉	喉	hau4		hau4
喊	喊	(白)hem3	(文)haam3	haam3
喋	喋	dip6		dip6
喍	喍	caai4		caai4
喎	㖞	wo3「語氣詞，表示輕微爭辯或讚歎」,wo5「語氣詞，表示反問或轉告」		wo3,wo5
喏	喏	nok6「同諾字」,je5「唱喏」,no6「嘆詞」		je5,nok6,no6
喐	喐	juk1「動，本字逳」		juk1
喑	喑	jam1		jam1
喓	喓	jiu1		jiu1
喔	喔	o1「感嘆詞」,ak1「雞啼聲」		1)ak1:喔喔叫 2)o1:嘆詞
喘	喘	cyun2		cyun2
喙	喙	fui3		fui3
喚	唤	wun6		wun6
喜	喜	hi2		hei2
喝	喝	hot3		hot3
喟	喟	wai2		wai2
喣	喣	hyu2	(又)jyu3	heoi2,jyu3
喧	喧	hyun1		hyun1
喪	丧	slong3「喪失」,slong1「喪事」		1)song3:喪失 2)song1:喪事
喫	吃	(白)jaak3	(文)hek3,(又)hat1,(又)hik1	jaak3,hek3
喬	乔	kiu4		kiu4
單	单	daan1「單獨」,sin6「姓」		1)daan1:單純 2)sin6:姓單；(古人名)sim4單于
喰	喰	caan1	(又)sik6	caan1,sik6
喱	喱	li1		lei1
喲	哟	jo1		jo1
喳	喳	zaa1		1)zaa1:喳喳叫 2)caa1:打渣渣
喵	喵	miu1	(白)meu1	miu1
喺	喺	hai2「在」		hai2
喻	喻	jyu6		jyu6
喼	喼	(白)gep1「喼帽，鴨舌帽；手提箱，又作篋字」	(文)gip1	gip1
嗄	嗄	aa2「語氣詞」,saa3「嗄啞」	(又)haa2「語氣詞」	aa2,saa3
嗅	嗅	cau3「嗅覺」	(語)hung3「用鼻聞」	cau3
嗆	呛	coeng3「油煙嗆人」,coeng1「吃飯嗆着」		1)coeng1:吃嗆 2)coeng3:煙嗆嗓子
嗇	啬	sik1		sik1
嗈	嗈	jung1		jung1
嗉	嗉	(書)slu3「嗉囊」	(習)slui3「雞嗉，又作雞碎」,(又)slyu3	sou3
嗌	嗌	aai3「罵；喊叫」,jik1「咽喉」		aai3,jik1
嗍	嗍	sok3「吮吸，又作欶字」		sok3
嗎	吗	maa1「疑問助詞」,maa5「嗎啡」		maa1,maa5
嗑	嗑	hap6		hap6
嗒	嗒	daap1「嚐味聲，食得～～聲」,taap3「嗒然若失」	(白)dep1「小口吃喝」	daap1,taap3,daat6
嗓	嗓	slong2	(又)slong1	song2
嗖	嗖	slau1		sau1
嗗	嗗	gut6「象聲詞，引申作喝」		gut6
嗚	呜	wu1		wu1
嗜	嗜	si3		si3
嗝	嗝	gaak3		gaak3
嗞	嗞	zi1	(老派)zy1	zi1
嗟	嗟	ze1		ze1
嗡	嗡	jung1	(又)ung1,(又)wang1	jung1
嗣	嗣	ci6	(老派)cy6	zi6
嗤	嗤	ci1		ci1
嗥	嗥	hu4		hou4
嗦	嗦	slo1		so1
嗨	嗨	haai1	(又)hoi1,(又)hai1	hoi1
嗩	唢	slo2		so2
嗬	嗬	ho4「嘆詞」		ho4
嗮	嗮	slaai3「助詞，又作哂字」		saai3
嗯	嗯	ng2「表示疑問」,ng6「表示答應」		ng2,ng6
嗰	嗰	go2「那」		go2
嗱	嗱	naa4		naa4
嗲	嗲	de2「撒嬌」,de4「流～～，滴瀝貌」		de2,de4
嗶	哔	bat1		bat1
嗷	嗷	ngu4		ngou4
嗺	嗺	cui1		ceoi1
嗻	嗻	ze1		ze1
嗽	嗽	slau3		sau3
嗾	嗾	slau2	(又)zuk6	sau2；(語)zuk6
嘀	嘀	dik6「嘀咕」,dik1「嘀嗒，又作滴答」		dik6；(又)dik1
嘁	嘁	ci1	(又)cik1	ci1,cik1
嘅	嘅	ge3「助詞，的」,koi3「同慨字」		ge3,ge2,koi3
嘆	叹	taan3		taan3
嘈	嘈	cu4		cou4
嘉	嘉	gaa1		gaa1
嘍	喽	lau4		lau4
嘎	嘎	gaa1「象聲詞」		gaa1
嘑	嘑	fu1「同呼字」,fu3「呼喝」,laa3「語氣詞」		fu1,fu3,laa3
嘔	呕	au2		au2
嘖	啧	zaak3		zaak3；嘖有煩言又讀zik1
嘗	尝	coeng4	(又)soeng4	soeng4
嘛	嘛	maa4「喇嘛」,maa3「助詞」		1)maa4:喇嘛 2)maa3:助詞
嘜	唛	(外)mak1「商標，牌號，英語mark音譯」		mak1
嘞	嘞	laak3「裂開」,laa1「語氣詞」	(語)lak1「詞綴，跳～～」,(語)laak1「～咑，不整潔」	laak3,laa3
嘟	嘟	du1		dou1
嘢	嘢	je5「東西」		je5
嘣	嘣	bang1		bang1
嘥	嘥	slaai1「浪費，本字㩄」		saai1
嘦	嘦	ziu3		ziu3
嘧	嘧	mat6		mat6
嘩	哗	waa1「同譁字」,waa4「嘆詞」		1)waa1:同譁 2)waa4:象聲詞
嘬	嘬	caai3「咬；吃」,zyut3「吮吸」	(語)zoet1「吻」	caai3,zyut3
嘭	嘭	paang4		paang4
嘮	唠	lu4		lou4
嘯	啸	sliu3		siu3
嘰	叽	gi1		gei1
嘲	嘲	zaau1		zaau1
嘴	嘴	zui2		zeoi2
嘵	哓	hiu1		hiu1
嘶	嘶	si1	(老派)sy1,(又)slai1	si1
嘹	嘹	liu4		liu4
嘻	嘻	hi1		hei1
嘿	嘿	hai1		hei1；默的本字
噀	噀	slan3	(老派)slyun3	seon3
噁	恶	ok3「噁心」,wu3「喑噁」		ok3,wu3
噂	噂	zyun2		zyun2
噃	噃	bo3「語氣詞」		bo3
噆	噆	caam2「叼、銜；咬、叮」	(語)cam3「～氣，嘮叨，又作譖字」	caam2,cam3
噇	噇	cong4		zong6,cong4
噉	噉	gam2「這樣」,daam6「同啖字」		gam2,daam6
噍	噍	ziu6「嚼」		ziu6
噎	噎	jit3		jit3
噏	噏	kap1「同吸字」,ngap1「胡說」		kap1,ngap1
噒	噒	lan1「啃」		leon1
噓	嘘	hyu1「吹噓」,syu4「嘆詞」		1)heoi1:噓寒問暖 2)syu4:嘆詞
噔	噔	dang1		dang1
噗	噗	puk1	(又)pok3	pok3
噘	噘	kyut3	(語)doe1「～嘴，噘嘴」,(語)goe1「～嘴，噘嘴，又作啹字」	kyut3
噙	噙	kam4		kam4
噚	噚	cam4		cam4
噝	咝	si1	(老派)sy1	si1
噠	哒	daat6		daat6
噢	噢	u3	(又)o1「同喔字」	ou3；或o1
噤	噤	gam3		gam3
噥	哝	nung4		nung4
噦	哕	jyut3「嘔吐」,wai3「噦噦」		wai3,jyut6
器	器	hi3		hei3
噩	噩	ngok6		ngok6
噪	噪	cu3		cou3
噫	噫	ji1		ji1
噬	噬	sai6		sai6
噯	嗳	aai1「同哎字」,oi2「嘆詞」		oi2
噰	噰	jung1		jung1
噱	噱	koek6	(又)coek3	koek6,coek3
噲	哙	faai3		faai3
噴	喷	pan3		pan3
噶	噶	gaa1「譯音用字」,got3「象聲詞」		gaa1,got3
噷	噷	hm1		hm1
噸	吨	dan1		deon1
噹	当	dong1		dong1
噺	噺	slan1		san1
噻	噻	slak1		sak1
噼	噼	pik1「擬聲詞」		pik1
嚀	咛	ning4		ning4
嚃	嚃	daap6		daap6
嚄	嚄	wok6「嚄唶」,o2「嘆詞」	(又)waak6「嚄唶」	wok6,o2,waak6
嚅	嚅	jyu4		jyu4
嚇	吓	haak3		haak3
嚊	嚊	bi6		bei6
嚌	哜	zai6		zai6
嚎	嚎	hu4		hou4
嚏	嚏	tai3		tai3
嚐	尝	coeng4	(又)soeng4	soeng4
嚓	嚓	caat3		caat3
嚕	噜	lu1「那」	(又)lu3「那」	lou1
嚙	啮	jit6「嚙齒」,ngaat6「啃，咬」	(又)ngit6「嚙齒」	ngaat6,jit6,ngit6
嚚	嚚	ngan4		ngan4
嚜	嚜	maa1「助詞」,mak1「同嘜字」,maak1「商標」,mak6「同默字」		maa1,mak1,mak6,maak1
嚟	嚟	lai4「來」		lai4
嚡	嚡	haai4「澀；粗糙」		haai4
嚤	嚤	mo1「慢」		mo1
嚥	咽	jin3		jin3
嚨	咙	lung4		lung4
嚭	嚭	pi2		pei2
嚮	向	hoeng3		hoeng3
嚯	嚯	ho1		ho1
嚱	嚱	hi1		hei1
嚲	亸	do2		do2
嚴	严	jim4		jim4
嚶	嘤	jing1		jing1
嚷	嚷	joeng6		joeng6；(又)joeng5
嚹	嚹	laa3		laa3
嚼	嚼	zoek3	(語)jaai3	zoek3
嚾	嚾	fun1「同歡字」		fun1
嚿	嚿	(量)gau6「塊、團」		gau6
囀	啭	zyun2		zyun2
囁	嗫	zip3	(又)nip6,(語)nep1「蚊蟲咬」	zip3
囂	嚣	hiu1		hiu1
囈	呓	ngai6		ngai6
囉	啰	lo1「囉嗦」,lo4「嘍囉」,lo3「助詞」		1)lo1:囉唆 2)lo4:嘍囉 3)lo3:助詞
囊	囊	nong4		nong4
囌	苏	slu1		sou1
囑	嘱	zuk1		zuk1
囓	啮	nit6「囓齒」,ngaat6「啃，咬」		ngaat6,jit6,ngit6
囔	囔	nong4		nong4
囖	囖	lo1		lo1
囚	囚	cau4		cau4
四	四	sli3		sei3
囝	囝	zai2		zai2
回	回	wui4		wui4
囟	囟	slan3	(老派)slyun3	seon3
因	因	jan1		jan1
囡	囡	naam4		naam4
囤	囤	tan4「囤積」	(白)dan2「米囤」	tyun4
囪	囱	cung1	(語)tung1「煙囪，又作煙通」	cung1；(語)tung1:同窗
囫	囫	fat1		fat1
困	困	kwan3「困難」	(白)wan3「關，囚禁，又作韞字」	kwan3
囱	囱	cung1	(語)tung1「煙囱，又作煙通」	cung1；(語)tung1:同窗
囷	囷	kwan1		kwan1
囹	囹	ling4		ling4
固	固	gu3		gu3
囿	囿	jau6		jau6
圂	圂	wan6		wan6
圃	圃	pu2		pou2
圄	圄	jyu5		jyu5
圇	囵	lan4	(老派)lyun4	leon4
圈	圈	hyun1「圓圈」,gyun3「圈養」		1)hyun1:圈子 2)gyun6:羊圈
圉	圉	jyu5		jyu5
圊	圊	cing1		cing1
國	国	(書)gwok3	(習)gok3	gwok3
圍	围	wai4		wai4
園	园	jyun4		jyun4
圓	圆	jyun4		jyun4
圖	图	tu4		tou4
團	团	tyun4		tyun4
圜	圜	jyun4「同圓字」,waan4「圍繞」		waan4,jyun4
圝	𪢮	lyun4		lyun4
圞	𪢮	lyun4		lyun4
土	土	tu2		tou2
圢	圢	ting5		ting5
圣	圣	sing3		sing3
在	在	zoi6		zoi6
圩	圩	hyu1「同墟字」,wai4「圩堤，築圩」		wai4,heoi1
圪	圪	ngat6	(又)gat6	gat6,ngat6
圬	圬	wu1		wu1
圭	圭	gwai1		gwai1
圮	圮	pi2		pei2
圯	圯	ji4		ji4
地	地	di6		dei6
圳	圳	zan3		zan3
圾	圾	slaap3		saap3
址	址	zi2		zi2
坁	坁	zi2		zi2
坅	坅	ham2「坑」		jam2,ham2
均	均	gwan1	(舊)kwan1	gwan1；通韻
坉	坉	tan4	(又)dan6	nang4,tyun4
坊	坊	fong1		fong1
坌	坌	ban6		ban6
坍	坍	taan1	(又)taam1,(語)tam4「壓，塌下」	taan1
坎	坎	ham2	(又)kaam2	ham2
坏	坏	waai6「同壞字」		1)pui1:同坯字 2)waai6:同壞字
坐	坐	co5		zo6；(又)co5
坑	坑	haang1		haang1
坒	坒	bai6	(又)bi6	bai6
坡	坡	po1		bo1；(又)po1
坤	坤	kwan1		kwan1
坦	坦	taan2		taan2
坨	坨	to4		to4
坩	坩	ham1		ham1
坪	坪	ping4		ping4
坫	坫	dim3		dim3
坭	坭	nai4		nai4
坯	坯	pui1		pui1
坰	坰	gwing1		gwing1
坳	坳	(白)eu3	(文)aau3	aau3
坷	坷	ho2		ho2
坺	坺	baat6	(白)bet6「溼～～，溼貌；腍～～，軟貌」	paat6,pet6
坻	坻	dai2「寶坻縣」,ci4「水中高地」		dai2,ci4
坼	坼	caak3		caak3
坽	坽	ling4		ling4
垂	垂	sui4	(又)cui4	seoi4
垃	垃	laap6		laap6
型	型	jing4		jing4
垌	垌	dung6「田垌；儒垌，廣東地名」,tung4「坰冢，湖北地名」		dung6,tung4
垏	垏	lat6	(老派)lyut6	leot6
垓	垓	goi1		goi1
垕	垕	hau5「同厚字」		hau5
垙	垙	(書)gwong1	(習)gong1	gwong1
垚	垚	jiu4		jiu4
垛	垛	do3		do2
垞	垞	caa4		caa4
垟	垟	joeng4		joeng4
垠	垠	ngan4		ngan4
垢	垢	gau3		gau3
垣	垣	wun4		wun4
